Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
03/14/2022 00H,12685
03/13/2022 23H,20336
03/13/2022 22H,26322
03/13/2022 21H,28537
03/13/2022 20H,29846
03/13/2022 19H,29861
03/13/2022 18H,31522
03/13/2022 17H,30930
03/13/2022 16H,28536
03/13/2022 15H,20876
03/13/2022 14H,8542
03/13/2022 13H,2259
03/13/2022 12H,105
03/13/2022 11H,50
03/13/2022 10H,59
03/13/2022 09H,59
03/13/2022 08H,58
03/13/2022 07H,120
03/13/2022 06H,175
03/13/2022 05H,6199
03/13/2022 04H,6264
03/13/2022 03H,6315
03/13/2022 02H,6611
03/13/2022 01H,14588
03/13/2022 00H,20971
03/12/2022 23H,29484
03/12/2022 22H,33841
03/12/2022 21H,35072
03/12/2022 20H,36766
03/12/2022 19H,37144
03/12/2022 18H,37480
03/12/2022 17H,36808
03/12/2022 16H,32620
03/12/2022 15H,21308
03/12/2022 14H,5396
03/12/2022 13H,942
03/12/2022 12H,59
03/12/2022 11H,23
03/12/2022 10H,20
03/12/2022 09H,20
03/12/2022 08H,34
03/12/2022 07H,50
03/12/2022 06H,82
03/12/2022 05H,6156
03/12/2022 04H,6168
03/12/2022 03H,6218
03/12/2022 02H,6798
03/12/2022 01H,8723
03/12/2022 00H,22598
03/11/2022 23H,26421
03/11/2022 22H,29153
03/11/2022 21H,32015
03/11/2022 20H,32629
03/11/2022 19H,33470
03/11/2022 18H,34083
03/11/2022 17H,32664
03/11/2022 16H,28012
03/11/2022 15H,15455
03/11/2022 14H,5574
03/11/2022 13H,2387
03/11/2022 12H,572
03/11/2022 11H,73
03/11/2022 10H,92
03/11/2022 09H,89
03/11/2022 08H,81
03/11/2022 07H,82
03/11/2022 06H,117
03/11/2022 05H,205
03/11/2022 04H,289
03/11/2022 03H,328
03/11/2022 02H,553
03/11/2022 01H,7308
03/11/2022 00H,21387
03/10/2022 23H,28535
03/10/2022 22H,31671
03/10/2022 21H,34477
03/10/2022 20H,35180
03/10/2022 19H,36259
03/10/2022 18H,35257
03/10/2022 17H,34425
03/10/2022 16H,29376
03/10/2022 15H,16880
03/10/2022 14H,4915
03/10/2022 13H,1303
03/10/2022 12H,247
03/10/2022 11H,83
03/10/2022 10H,80
03/10/2022 09H,89
03/10/2022 08H,88
03/10/2022 07H,101
03/10/2022 06H,116
03/10/2022 05H,238
03/10/2022 04H,211
03/10/2022 03H,234
03/10/2022 02H,477
03/10/2022 01H,7086
03/10/2022 00H,18985
03/9/2022 23H,25058
03/9/2022 22H,28355
03/9/2022 21H,30664
03/9/2022 20H,32315
03/9/2022 19H,33261
03/9/2022 18H,34138
