Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
17:14:21 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
03/11/2022 04H,6872
03/11/2022 03H,6926
03/11/2022 02H,7094
03/11/2022 01H,7812
03/11/2022 00H,6887
03/10/2022 23H,7058
03/10/2022 22H,6835
03/10/2022 21H,7601
03/10/2022 20H,7475
03/10/2022 19H,7546
03/10/2022 18H,7675
03/10/2022 17H,7409
03/10/2022 16H,7462
03/10/2022 15H,7419
03/10/2022 14H,7283
03/10/2022 13H,8046
03/10/2022 12H,8291
03/10/2022 11H,8000
03/10/2022 10H,6144
03/10/2022 09H,6017
03/10/2022 08H,6581
03/10/2022 07H,6013
03/10/2022 06H,7062
03/10/2022 05H,6463
03/10/2022 04H,7489
03/10/2022 03H,7597
03/10/2022 02H,8527
03/10/2022 01H,7032
03/10/2022 00H,7172
03/9/2022 23H,7188
03/9/2022 22H,6704
03/9/2022 21H,6641
03/9/2022 20H,7007
03/9/2022 19H,7304
03/9/2022 18H,7813
03/9/2022 17H,7208
03/9/2022 16H,7921
03/9/2022 15H,7228
03/9/2022 14H,7648
03/9/2022 13H,6771
03/9/2022 12H,7236
03/9/2022 11H,6813
03/9/2022 10H,5694
03/9/2022 09H,5751
03/9/2022 08H,6550
03/9/2022 07H,6016
03/9/2022 06H,6991
03/9/2022 05H,7018
03/9/2022 04H,7823
03/9/2022 03H,8343
03/9/2022 02H,8701
03/9/2022 01H,7667
03/9/2022 00H,6511
03/8/2022 23H,7042
03/8/2022 22H,7340
03/8/2022 21H,6525
03/8/2022 20H,6503
03/8/2022 19H,6351
03/8/2022 18H,6326
03/8/2022 17H,6381
03/8/2022 16H,6439
03/8/2022 15H,6594
03/8/2022 14H,7496
03/8/2022 13H,7134
03/8/2022 12H,6172
03/8/2022 11H,6063
03/8/2022 10H,5936
03/8/2022 09H,5950
03/8/2022 08H,6662
03/8/2022 07H,6219
03/8/2022 06H,6633
03/8/2022 05H,6740
03/8/2022 04H,7109
03/8/2022 03H,7790
03/8/2022 02H,7203
03/8/2022 01H,7583
03/8/2022 00H,6947
03/7/2022 23H,6467
03/7/2022 22H,6656
03/7/2022 21H,5971
03/7/2022 20H,6579
03/7/2022 19H,6141
03/7/2022 18H,6086
03/7/2022 17H,6237
03/7/2022 16H,6090
03/7/2022 15H,6745
03/7/2022 14H,7221
03/7/2022 13H,6861
03/7/2022 12H,6722
03/7/2022 11H,6071
03/7/2022 10H,5866
03/7/2022 09H,6359
03/7/2022 08H,6491
03/7/2022 07H,5797
03/7/2022 06H,5912
03/7/2022 05H,6769
03/7/2022 04H,6934
03/7/2022 03H,7363
03/7/2022 02H,7179
03/7/2022 01H,6402
