Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
16:49:57 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
03/31/2022 10H,66926
03/31/2022 09H,66170
03/31/2022 08H,66119
03/31/2022 07H,67221
03/31/2022 06H,68185
03/31/2022 05H,71528
03/31/2022 04H,78865
03/31/2022 03H,78975
03/31/2022 02H,80519
03/31/2022 01H,78901
03/31/2022 00H,76702
03/30/2022 23H,74557
03/30/2022 22H,72460
03/30/2022 21H,71826
03/30/2022 20H,72482
03/30/2022 19H,72617
03/30/2022 18H,73221
03/30/2022 17H,74112
03/30/2022 16H,75600
03/30/2022 15H,77180
03/30/2022 14H,78333
03/30/2022 13H,78903
03/30/2022 12H,76409
03/30/2022 11H,73590
03/30/2022 10H,69537
03/30/2022 09H,68898
03/30/2022 08H,69721
03/30/2022 07H,69751
03/30/2022 06H,69816
03/30/2022 05H,72083
03/30/2022 04H,78565
03/30/2022 03H,78226
03/30/2022 02H,79120
03/30/2022 01H,78439
03/30/2022 00H,76960
03/29/2022 23H,76565
03/29/2022 22H,75396
03/29/2022 21H,75067
03/29/2022 20H,75548
03/29/2022 19H,75918
03/29/2022 18H,76181
03/29/2022 17H,77108
03/29/2022 16H,79097
03/29/2022 15H,79731
03/29/2022 14H,80701
03/29/2022 13H,81236
03/29/2022 12H,77729
03/29/2022 11H,74264
03/29/2022 10H,70128
03/29/2022 09H,68573
03/29/2022 08H,69491
03/29/2022 07H,70694
03/29/2022 06H,72522
03/29/2022 05H,75186
03/29/2022 04H,77852
03/29/2022 03H,82922
03/29/2022 02H,86891
03/29/2022 01H,88377
03/29/2022 00H,88158
03/28/2022 23H,86689
03/28/2022 22H,86538
03/28/2022 21H,84968
03/28/2022 20H,85919
03/28/2022 19H,87020
03/28/2022 18H,87450
03/28/2022 17H,87016
03/28/2022 16H,86455
03/28/2022 15H,87611
03/28/2022 14H,88216
03/28/2022 13H,88118
03/28/2022 12H,86262
03/28/2022 11H,83473
03/28/2022 10H,80532
03/28/2022 09H,77014
03/28/2022 08H,77237
03/28/2022 07H,77484
03/28/2022 06H,77687
03/28/2022 05H,79262
03/28/2022 04H,79451
03/28/2022 03H,84724
03/28/2022 02H,87532
03/28/2022 01H,87076
03/28/2022 00H,84353
03/27/2022 23H,81676
03/27/2022 22H,80623
03/27/2022 21H,79645
03/27/2022 20H,79676
03/27/2022 19H,79245
03/27/2022 18H,79186
03/27/2022 17H,79041
03/27/2022 16H,77867
03/27/2022 15H,76288
03/27/2022 14H,75025
03/27/2022 13H,75307
03/27/2022 12H,73348
03/27/2022 11H,72035
03/27/2022 10H,70087
03/27/2022 09H,68765
03/27/2022 08H,68905
03/27/2022 07H,69863
03/27/2022 06H,70572
03/27/2022 05H,72979
03/27/2022 04H,72885
03/27/2022 03H,78485
03/27/2022 02H,80607
03/27/2022 01H,79838
03/27/2022 00H,78592
03/26/2022 23H,76408
03/26/2022 22H,75526
03/26/2022 21H,74653
03/26/2022 20H,74205
03/26/2022 19H,74927
03/26/2022 18H,76373
03/26/2022 17H,76909
03/26/2022 16H,78295
03/26/2022 15H,78705
03/26/2022 14H,77835
03/26/2022 13H,78915
03/26/2022 12H,77562
03/26/2022 11H,75051
03/26/2022 10H,72131
03/26/2022 09H,69912
03/26/2022 08H,68352
03/26/2022 07H,67223
03/26/2022 06H,69046
03/26/2022 05H,72378
03/26/2022 04H,78220
03/26/2022 03H,79297
03/26/2022 02H,81008
03/26/2022 01H,79263
03/26/2022 00H,76912
03/25/2022 23H,75507
03/25/2022 22H,74852
03/25/2022 21H,74059
03/25/2022 20H,72795
03/25/2022 19H,72300
03/25/2022 18H,73043
03/25/2022 17H,75267
03/25/2022 16H,77006
03/25/2022 15H,79236
03/25/2022 14H,81617
03/25/2022 13H,82868
